item_id,L1,L2,L3,question_text,answer_type,choice_A,choice_B,choice_C,choice_D,correct_key,correct_text,explanation
14,Linuxファイル操作,標準入出力操作,リダイレクト,既存のファイルに出力を追記するためのリダイレクト記号を一つ書いてください,text,,,,,,>>,>> を使うと既存の内容を消さずに末尾に追記できる
15,Linuxファイル操作,標準入出力操作,パイプ,ファイルの中で pattern に一致する行数だけを数えたいときに最も適切なコマンドはどれですか？,mcq,grep pattern file.txt | wc -l,grep -n pattern file.txt,cat file.txt | wc -c,sort file.txt | wc -l,A,,grep で抽出した行を wc -l にパイプすると一致行の数を数えられる
16,Linuxファイル操作,標準入出力操作,xargs,xargs コマンドの説明として正しいものはどれですか？,mcq,標準入力から受け取ったデータで引数を構成してコマンドを実行する,ファイルを8進数や16進数で表示する,ファイルの文字数や単語数を数える,ファイルを特定の行数で分割する,A,,xargs は標準入力を受け取りそれを引数として別のコマンドを複数回実行する
17,Linuxファイル操作,標準入出力操作,tee,tee コマンドの説明として正しいものはどれですか？,mcq,標準入力を読み取り標準出力とファイルの両方に同時に書き出す,標準入力を並び替えて出力する,標準入力を圧縮してファイルに保存する,標準入力から空行を削除して出力する,A,,tee はパイプラインの途中で出力を分岐させて画面とファイルの両方に送る
18,Linuxファイル操作,標準入出力操作,標準入出力,標準入力を表すファイルディスクリプタ番号はどれですか？,mcq,0,1,2,3,A,,UNIX系システムでは0が標準入力1が標準出力2が標準エラー出力を表す
19,Linuxファイル操作,標準入出力操作,リダイレクト,コマンドの標準入力をファイルから受け取るためのリダイレクト記号を一つ書いてください,text,,,,,,<,< を使うとファイルの内容をコマンドの標準入力として渡せる
20,Linuxファイル操作,標準入出力操作,リダイレクト,file1 と file2 を連結して all.txt に上書き保存したいときに最も適切なコマンドはどれですか？,mcq,cat file1 file2 > all.txt,cat file1 > file2 > all.txt,cat file1 file2 >> all.txt,cat > all.txt file1 file2,A,,> を使うと連結した出力で all.txt の内容を上書きできる
21,Linuxファイル操作,ファイルの操作,cp,ファイル file1 を file2 としてコピーするコマンドはどれですか？,mcq,cp file1 file2,mv file1 file2,ln file1 file2,cat file1 > file2,A,,cp はファイルやディレクトリをコピーする
22,Linuxファイル操作,ファイルの操作,mv,ファイル名 old.txt を new.txt に変更するコマンドはどれですか？,mcq,mv old.txt new.txt,cp old.txt new.txt,rm old.txt new.txt,ln old.txt new.txt,A,,mv はファイルの移動と名称変更の両方に使える
23,Linuxファイル操作,ファイルの操作,rm,ファイル tmp.txt を削除するコマンドはどれですか？,mcq,rm tmp.txt,delete tmp.txt,erase tmp.txt,drop tmp.txt,A,,rm コマンドで指定したファイルを削除できる
24,Linuxファイル操作,ファイルの操作,mkdir,ディレクトリ dir1 を新しく作成するコマンドはどれですか？,mcq,mkdir dir1,cp dir1,mv dir1,ls dir1,A,,mkdir は新しいディレクトリを作成する
25,Linuxファイル操作,ファイルの操作,rmdir,空のディレクトリ dir1 を削除するコマンドはどれですか？,mcq,rmdir dir1,rm dir1,rm -rf dir1,delete dir1,A,,rmdir は空のディレクトリだけを削除できる
26,Linuxファイル操作,ファイルの操作,ls,隠しファイルも含めて詳細情報付きで一覧表示するコマンドとして最も適切なものはどれですか？,mcq,ls -la,ls,ls -l,ls -a,A,,ls -la は詳細表示と隠しファイルの両方を有効にする
27,Linuxファイル操作,ファイルの操作,chown,ファイル file.txt の所有者を user1 に変更するコマンドはどれですか？,mcq,chown user1 file.txt,chgrp user1 file.txt,chown file.txt user1,chgrp file.txt user1,A,,chown はファイルの所有ユーザーやグループを変更する
28,Linuxファイル操作,ファイルの操作,chmod,ファイル script.sh に実行権を追加するコマンドとして最も適切なものはどれですか？,mcq,chmod +x script.sh,chmod -x script.sh,chmod 000 script.sh,chmod u-w script.sh,A,,chmod +x で全ユーザーに実行権を追加できる
29,Linuxファイル操作,ファイルの操作,find,ルートディレクトリから名前が foo.txt のファイルを探すコマンドはどれですか？,mcq,find / -name foo.txt,grep foo.txt /,locate / foo.txt,ls / foo.txt,A,,find / -name foo.txt でルート以下から名前が foo.txt のファイルを検索できる
30,Linuxファイル操作,ファイルの操作,touch,空のファイルを新規作成するときに使えるコマンドを一つ書いてください,text,,,,,,touch,touch コマンドは存在しないファイル名を指定すると空のファイルを作成する
