item_id,L1,L2,L3,tier,question_text,answer_type,choice_A,choice_B,choice_C,choice_D,correct_key,correct_text,explanation
13,Linuxファイル操作,標準入出力操作,ヒアドキュメント,2,シェルのヒアドキュメントで使用するリダイレクト記号を一つ書いてください,text,,,,,,<<,シェルでは << を使って後続の行を標準入力としてコマンドに渡す
14,Linuxファイル操作,標準入出力操作,リダイレクト,2,既存のファイルに出力を追記するためのリダイレクト記号を一つ書いてください,text,,,,,,>>,>> を使うと既存の内容を消さずに末尾に追記できる
15,Linuxファイル操作,標準入出力操作,パイプ,2,ファイルの中で pattern に一致する行数だけを数えたいときに最も適切なコマンドはどれですか？,mcq,grep pattern file.txt | wc -l,grep -n pattern file.txt,cat file.txt | wc -c,sort file.txt | wc -l,A,,grep で抽出した行を wc -l にパイプすると一致行の数を数えられる
16,Linuxファイル操作,標準入出力操作,xargs,2,xargs コマンドの説明として正しいものはどれですか？,mcq,標準入力から受け取ったデータで引数を構成してコマンドを実行する,ファイルを8進数や16進数で表示する,ファイルの文字数や単語数を数える,ファイルを特定の行数で分割する,A,,xargs は標準入力を受け取りそれを引数として別のコマンドを複数回実行する
17,Linuxファイル操作,標準入出力操作,tee,2,tee コマンドの説明として正しいものはどれですか？,mcq,標準入力を読み取り標準出力とファイルの両方に同時に書き出す,標準入力を並び替えて出力する,標準入力を圧縮してファイルに保存する,標準入力から空行を削除して出力する,A,,tee はパイプラインの途中で出力を分岐させて画面とファイルの両方に送る
18,Linuxファイル操作,標準入出力操作,標準入出力,2,標準入力を表すファイルディスクリプタ番号はどれですか？,mcq,0,1,2,3,A,,UNIX系システムでは0が標準入力1が標準出力2が標準エラー出力を表す
19,Linuxファイル操作,標準入出力操作,リダイレクト,2,コマンドの標準入力をファイルから受け取るためのリダイレクト記号を一つ書いてください,text,,,,,,<,< を使うとファイルの内容をコマンドの標準入力として渡せる
20,Linuxファイル操作,標準入出力操作,リダイレクト,2,file1 と file2 を連結して all.txt に上書き保存したいときに最も適切なコマンドはどれですか？,mcq,cat file1 file2 > all.txt,cat file1 > file2 > all.txt,cat file1 file2 >> all.txt,cat > all.txt file1 file2,A,,> を使うと連結した出力で all.txt の内容を上書きできる
21,Linuxファイル操作,ファイルの操作,cp,2,ファイル file1 を file2 としてコピーするコマンドはどれですか？,mcq,cp file1 file2,mv file1 file2,ln file1 file2,cat file1 > file2,A,,cp はファイルやディレクトリをコピーする
22,Linuxファイル操作,ファイルの操作,mv,2,ファイル名 old.txt を new.txt に変更するコマンドはどれですか？,mcq,mv old.txt new.txt,cp old.txt new.txt,rm old.txt new.txt,ln old.txt new.txt,A,,mv はファイルの移動と名称変更の両方に使える
23,Linuxファイル操作,ファイルの操作,rm,2,ファイル tmp.txt を削除するコマンドはどれですか？,mcq,rm tmp.txt,delete tmp.txt,erase tmp.txt,drop tmp.txt,A,,rm コマンドで指定したファイルを削除できる
24,Linuxファイル操作,ファイルの操作,mkdir,2,ディレクトリ dir1 を新しく作成するコマンドはどれですか？,mcq,mkdir dir1,cp dir1,mv dir1,ls dir1,A,,mkdir は新しいディレクトリを作成する
25,Linuxファイル操作,ファイルの操作,rmdir,2,空のディレクトリ dir1 を削除するコマンドはどれですか？,mcq,rmdir dir1,rm dir1,rm -rf dir1,delete dir1,A,,rmdir は空のディレクトリだけを削除できる
26,Linuxファイル操作,ファイルの操作,ls,1,隠しファイルも含めて詳細情報付きで一覧表示するコマンドとして最も適切なものはどれですか？,mcq,ls -la,ls,ls -l,ls -a,A,,ls -la は詳細表示と隠しファイルの両方を有効にする
27,Linuxファイル操作,ファイルの操作,chown,2,ファイル file.txt の所有者を user1 に変更するコマンドはどれですか？,mcq,chown user1 file.txt,chgrp user1 file.txt,chown file.txt user1,chgrp file.txt user1,A,,chown はファイルの所有ユーザーやグループを変更する
28,Linuxファイル操作,ファイルの操作,chmod,2,ファイル script.sh に実行権を追加するコマンドとして最も適切なものはどれですか？,mcq,chmod +x script.sh,chmod -x script.sh,chmod 000 script.sh,chmod u-w script.sh,A,,chmod +x で全ユーザーに実行権を追加できる
29,Linuxファイル操作,ファイルの操作,find,2,ルートディレクトリから名前が foo.txt のファイルを探すコマンドはどれですか？,mcq,find / -name foo.txt,grep foo.txt /,locate / foo.txt,ls / foo.txt,A,,find / -name foo.txt でルート以下から名前が foo.txt のファイルを検索できる
30,Linuxファイル操作,ファイルの操作,touch,3,空のファイルを新規作成するときに使えるコマンドを一つ書いてください,text,,,,,,touch,touch コマンドは存在しないファイル名を指定すると空のファイルを作成する
31,Linuxファイル操作,テキスト処理,tr,2,小文字を大文字に変換して表示するのに適したコマンドはどれですか？,mcq,tr 'a-z' 'A-Z' < file.txt,sort file.txt,cut file.txt,wc -l file.txt,A,,tr は文字の変換や削除を行うコマンドであり小文字から大文字への変換にも使える
32,Linuxファイル操作,テキスト処理,sort,2,sort コマンドで数値として昇順に並び替えるためのオプションを一つ書いてください,text,,,,,,-n,-n オプションを付けると文字列ではなく数値として比較して並び替える
33,Linuxファイル操作,テキスト処理,sort,2,sort コマンドで逆順に並び替えるためのオプションはどれですか？,mcq,-r,-n,-k,-t,A,,-r オプションを付けると比較結果を反転させて逆順で表示する
34,Linuxファイル操作,テキスト処理,cut,2,cut コマンドで区切り文字としてコロンを指定するためのオプションと記述として正しいものはどれですか？,mcq,cut -d: -f1 file.txt,cut -c: -f1 file.txt,cut -d: file.txt,cut -f:1 file.txt,A,,-d で区切り文字を指定し -f で取得したいフィールド番号を指定する
35,Linuxファイル操作,テキスト処理,cut,2,cut コマンドで2列目と4列目を取り出す指定を一つ書いてください,text,,,,,,"-f2,4","-f2,4 のようにカンマ区切りで複数フィールドを指定できる"
36,Linuxファイル操作,テキスト処理,awk,2,ファイルから1列目だけを表示する awk のコマンドとして最も適切なものはどれですか？,mcq,awk '{print $1}' file.txt,awk '{print $0}' file.txt,awk '{print $2}' file.txt,awk '{print $1 $2}' file.txt,A,,awk '{print $1}' file.txt は各行の1番目のフィールドのみを表示する
37,Linuxファイル操作,テキスト処理,paste,2,複数ファイルの対応する行を横に結合して表示するコマンドはどれですか？,mcq,paste,join,sort,cat,A,,paste は複数ファイルを行単位で横方向に結合して出力する
38,Linuxファイル操作,テキスト処理,nl,2,各行の先頭に行番号を付けて表示するコマンドはどれですか？,mcq,nl,head,cat -n,od,A,,nl は行番号付きで表示するための専用コマンドである
39,Linuxファイル操作,テキスト処理,split,2,大きなファイルを一定行数ごとに分割するコマンドはどれですか？,mcq,split,cut,join,tee,A,,split はファイルを指定した行数やバイト数ごとに分割して出力する
40,Linuxファイル操作,テキスト処理,sort_uniq,2,ファイルの重複行を削除しつつ並び替えて表示したいときに最も適切なコマンドはどれですか？,mcq,sort file.txt | uniq,uniq file.txt | sort,grep file.txt | uniq,sort -u file.txt,A,,sort で並び替えてから uniq で重複を削除すると一意な行だけを取得できる
41,Linuxファイル操作,テキスト処理,wc,2,ファイル file.txt の行数だけを表示したいときに使用するコマンドを一つ書いてください,text,,,,,,wc -l file.txt,wc -l を使うと行数のみを表示できる
42,Linuxファイル操作,テキスト処理,grep,2,grep でパターンに一致しない行だけを表示するオプションとして正しいものはどれですか？,mcq,-v,-n,-i,-r,A,,-v を付けると指定したパターンに一致しない行を抽出できる
43,Linuxファイル操作,テキスト処理,sed,2,sed で1行目から5行目だけを表示するコマンドを一つ書いてください,text,,,,,,"sed -n '1,5p' file.txt","sed -n '1,5p' のように -n と p コマンドを組み合わせて特定範囲だけを出力できる"
44,Linuxファイル操作,テキスト処理,正規表現,2,正規表現で任意の1文字を表すメタ文字を一つ書いてください,text,,,,,,.,ピリオドは任意の1文字にマッチするメタ文字である
45,Linuxファイル操作,テキスト処理,正規表現,2,正規表現で0文字以上の繰り返しを表すメタ文字を一つ書いてください,text,,,,,,*,直前の文字やグループの0回以上の繰り返しを表す
46,Linuxファイル操作,標準入出力操作,リダイレクト,2,標準エラー出力だけを error.log に書き出し標準出力は画面に表示したいときに最も適切なコマンドはどれですか？,mcq,command 2> error.log,command > error.log 2>&1,command >> error.log,command < error.log,A,,2> を使うと標準エラー出力だけを別ファイルにリダイレクトできる
47,Linuxファイル操作,標準入出力操作,リダイレクト,2,標準出力を破棄して画面にもファイルにも表示したくないときに使う特殊ファイルを一つ書いてください,text,,,,,,/dev/null,/dev/null はどこにも出力しない特別なデバイスファイルである
48,Linuxファイル操作,標準入出力操作,リダイレクト,2,標準出力を file.txt に上書きし標準エラー出力は画面に残したいときのリダイレクト記述として正しいものはどれですか？,mcq,command > file.txt,command > file.txt 2>&1,command 2> file.txt,command >> file.txt,A,,単純な > を使うと標準出力だけがファイルに書き込まれ標準エラー出力はそのまま表示される
49,Linuxファイル操作,標準入出力操作,パイプ,2,複数のコマンドをつなぎ中間生成物を一時ファイルに保存せずに渡す仕組みを何と呼びますか？,text,,,,,,パイプ,縦棒でつなぐことにより片方の標準出力をもう片方の標準入力として受け渡す仕組みをパイプと呼ぶ
50,Linuxファイル操作,標準入出力操作,ヒアドキュメント,2,cat コマンドに複数行の文字列を直接渡してファイルに保存したいときに使う構文として最も適切なものはどれですか？,mcq,cat << EOF > file.txt,cat > file.txt << EOF,cat < file.txt >> EOF,cat >> file.txt < EOF,A,,ヒアドキュメントの << とリダイレクト > を組み合わせることで複数行をファイルに書き込める
51,Linuxファイル操作,標準入出力操作,xargs,2,find と xargs を組み合わせて見つかったファイルを一括で削除するコマンドとして最も適切なものはどれですか？,mcq,find . -name '*.tmp' | xargs rm,find . -name '*.tmp' rm,xargs rm '*.tmp',rm | xargs find . -name '*.tmp',A,,find の結果を xargs にパイプすることで多数の引数を rm に渡すことができる
52,Linuxファイル操作,標準入出力操作,tee,2,tee コマンドを使ってログを画面に表示しながら同時に log.txt に追記したいときに最も適切なコマンドはどれですか？,mcq,command | tee -a log.txt,command | tee log.txt,command >> log.txt | tee,command 2> log.txt | tee,A,,-a オプションを付けると既存ファイルの末尾に追記しつつ標準出力にも表示できる
53,Linuxファイル操作,標準入出力操作,標準入出力,2,標準出力を表すファイルディスクリプタ番号を一つ書いてください,text,,,,,,1,UNIX系システムでは1が標準出力を表す
54,Linuxファイル操作,標準入出力操作,標準入出力,2,標準エラー出力を表すファイルディスクリプタ番号を一つ書いてください,text,,,,,,2,UNIX系システムでは2が標準エラー出力を表す
55,Linuxファイル操作,ファイルの操作,ln,3,既存ファイル file.txt に対してシンボリックリンク link.txt を作成するコマンドとして最も適切なものはどれですか？,mcq,ln -s file.txt link.txt,ln file.txt link.txt,ln link.txt file.txt,cp file.txt link.txt,A,,ln -s を使うとシンボリックリンクを作成できる
56,Linuxファイル操作,ファイルの操作,tar,2,複数のファイルを1つのアーカイブファイル archive.tar にまとめるコマンドとして最も適切なものはどれですか？,mcq,tar cf archive.tar file1 file2,tar xf archive.tar file1 file2,tar czf archive.tar.gz file1 file2,tar tvf archive.tar,A,,tar cf で指定したファイルを1つのアーカイブにまとめることができる
57,Linuxファイル操作,ファイルの操作,tar,2,tar で gzip 圧縮されたアーカイブ archive.tar.gz を展開するコマンドを一つ書いてください,text,,,,,,tar xzf archive.tar.gz,tar xzf で展開と同時に gzip 解凍を行うことができる
58,Linuxファイル操作,ファイルの操作,gzip,2,ファイル file.txt を gzip 形式で圧縮し file.txt.gz を作成するコマンドとして最も適切なものはどれですか？,mcq,gzip file.txt,gunzip file.txt,gzip -d file.txt,zip file.txt,A,,gzip file.txt を実行すると元ファイルを圧縮し拡張子 gz を付けたファイルを生成する
59,Linuxファイル操作,ファイルの操作,chmod,2,chmod で所有者に読み書き実行権限グループに読み実行その他に読み取りのみを与えるモードを数字で一つ書いてください,text,,,,,,754,7は読み書き実行5は読み実行4は読み取りのみを表す
60,Linuxファイル操作,ファイルの操作,file,2,指定したファイルの種類を判定して表示するコマンドはどれですか？,mcq,file,ls,cat,stat,A,,file コマンドは実際の中身を検査してテキストかバイナリかなどの種類を判定する
