item_id,L1,L2,L3,tier,question_text,answer_type,choice_A,choice_B,choice_C,choice_D,correct_key,correct_text,explanation
18,Linuxファイル操作,所有者とパーミッション,基本パーミッション,1,ls -l の出力に含まれる r や w や x などの文字は何を表していますか？,mcq,パーミッション,所有者の名前,ファイルサイズ,更新日時,A,,rwx の3文字は読み書き実行の権限を表す
19,Linuxファイル操作,所有者とパーミッション,chmod,1,所有者に読み書きグループとその他に読み取りのみを許可するパーミッションを数字3桁で表したものとして正しいのはどれですか？,mcq,644,600,664,755,A,,6は読み書き4は読み取りのみを表す
20,Linuxファイル操作,所有者とパーミッション,chmod,2,ファイル script.sh に所有者だけ実行権限を追加する chmod の指定を一つ書いてください,text,,,,,,chmod u+x script.sh,u は所有者を表し加算の記号で権限を追加する
21,Linuxファイル操作,所有者とパーミッション,chown,1,ファイル data.txt の所有者を user1 に変更するコマンドとして正しいものはどれですか？,mcq,chown user1 data.txt,chgrp user1 data.txt,chown data.txt user1,chmod user1 data.txt,A,,chown の第1引数に新しい所有者第2引数に対象ファイルを指定する
22,Linuxファイル操作,所有者とパーミッション,chgrp,1,ファイル data.txt の所有グループを group1 に変更するコマンドを一つ書いてください,text,,,,,,chgrp group1 data.txt,chgrp はファイルの所有グループだけを変更する
23,Linuxファイル操作,所有者とパーミッション,chmod再帰,2,ディレクトリ dir1 とその配下の全てのファイルに対して755のパーミッションを設定したいときに最も適切なコマンドはどれですか？,mcq,chmod -R 755 dir1,chmod 755 dir1/*,chmod -r 755 dir1,chmod -a 755 dir1,A,,-R オプションでディレクトリを再帰的に処理できる
24,Linuxファイル操作,所有者とパーミッション,umask,2,umask 022 の意味として最も適切な説明はどれですか？,mcq,グループとその他から書き込み権限を引く,所有者から読み取り権限を引く,全ての権限を許可する,実行権限を全て削除する,A,,022 ではグループとその他の書き込みビットがマスクされる
25,Linuxファイル操作,所有者とパーミッション,umask,3,umask が 022 の環境で新しい通常ファイルを作成したときのデフォルトパーミッションを数字3桁で答えてください,text,,,,,,644,通常のファイルは666からマスク値022を引いた644が初期値になる
26,Linuxファイル操作,所有者とパーミッション,SUID,3,実行ファイルに SUID ビットが設定されているときの動作として正しいものはどれですか？,mcq,実行時にファイル所有者の権限で動作する,常に root 権限で動作する,ファイル所有グループの権限で動作する,実行権限が無くても誰でも実行できる,A,,SUID が付いたプログラムは所有者のユーザー権限で実行される
27,Linuxファイル操作,所有者とパーミッション,SGID,3,ディレクトリに SGID ビットが設定されているときの効果として最も適切なものはどれですか？,mcq,そのディレクトリ内で作成されたファイルのグループがディレクトリの所有グループになる,そのディレクトリ内では常に root 権限になる,そのディレクトリ内では誰でも書き込みできる,そのディレクトリが自動的にバックアップされる,A,,SGID 付きディレクトリでは新しいファイルのグループがディレクトリのグループに揃う
28,Linuxファイル操作,所有者とパーミッション,スティッキービット,3,スティッキービットが設定された共有ディレクトリとしてよく使われる /tmp の特徴として正しいものはどれですか？,mcq,所有者以外はそのディレクトリ内のファイルを削除できない,誰でも他人のファイルを削除できる,読み取り権限が無くても一覧表示できる,実行ファイルだけを配置できる,A,,スティッキービットが付くと所有者または管理者以外は他人のファイルを削除できない
29,Linuxファイル操作,所有者とパーミッション,パーミッション表記,2,パーミッション文字列 rwxr-xr-x を数字3桁で表したものを答えてください,text,,,,,,755,rwx は7 r-x は5となり合計で755になる
30,Linuxファイル操作,所有者とパーミッション,ls,2,/tmp ディレクトリ自体の情報だけを表示しその中身は一覧しないように ls で表示したいときのコマンドを一つ書いてください,text,,,,,,ls -ld /tmp,-d オプションを付けるとディレクトリの中身ではなくディレクトリ自体の情報を表示する
